config_id,lr,weight_decay,dropout_base,label_smoothing,mixup_alpha,val_acc
39,0.001,5e-06,0.45,0.1,0.2,96.48397104446742
40,0.001,5e-06,0.45,0.1,0.25,96.38055842812823
18,0.001,5e-06,0.35,0.05,0.2,96.27714581178904
36,0.001,5e-06,0.45,0.05,0.2,96.22543950361944
24,0.001,5e-06,0.35,0.15,0.2,96.22543950361944
30,0.001,5e-06,0.4,0.1,0.2,96.22543950361944
35,0.001,5e-06,0.45,0.05,0.15,96.22543950361944
26,0.001,5e-06,0.4,0.05,0.15,96.22543950361944
9,0.001,5e-06,0.4,0.1,0.2,96.22543950361944
11,0.001,2e-05,0.4,0.1,0.2,96.22543950361944
10,0.001,1e-05,0.4,0.1,0.2,96.22543950361944
38,0.001,5e-06,0.45,0.1,0.15,96.22543950361944
42,0.001,5e-06,0.45,0.15,0.2,96.17373319544984
17,0.001,5e-06,0.35,0.05,0.15,96.17373319544984
37,0.001,5e-06,0.45,0.05,0.25,96.12202688728024
16,0.0012,5e-05,0.4,0.1,0.2,96.12202688728024
27,0.001,5e-06,0.4,0.05,0.2,96.12202688728024
15,0.0012,2e-05,0.4,0.1,0.2,96.07032057911066
12,0.001,5e-05,0.4,0.1,0.2,96.07032057911066
43,0.001,5e-06,0.45,0.15,0.25,96.07032057911066
14,0.0012,1e-05,0.4,0.1,0.2,96.07032057911066
13,0.0012,5e-06,0.4,0.1,0.2,96.07032057911066
32,0.001,5e-06,0.4,0.15,0.15,96.01861427094106
21,0.001,5e-06,0.35,0.1,0.2,95.96690796277146
19,0.001,5e-06,0.35,0.05,0.25,95.96690796277146
28,0.001,5e-06,0.4,0.05,0.25,95.96690796277146
33,0.001,5e-06,0.4,0.15,0.2,95.96690796277146
41,0.001,5e-06,0.45,0.15,0.15,95.96690796277146
1,0.0005,5e-06,0.4,0.1,0.2,95.86349534643226
2,0.0005,1e-05,0.4,0.1,0.2,95.86349534643226
3,0.0005,2e-05,0.4,0.1,0.2,95.86349534643226
4,0.0005,5e-05,0.4,0.1,0.2,95.86349534643226
5,0.0008,5e-06,0.4,0.1,0.2,95.81178903826267
6,0.0008,1e-05,0.4,0.1,0.2,95.81178903826267
7,0.0008,2e-05,0.4,0.1,0.2,95.81178903826267
8,0.0008,5e-05,0.4,0.1,0.2,95.81178903826267
29,0.001,5e-06,0.4,0.1,0.15,95.81178903826267
23,0.001,5e-06,0.35,0.15,0.15,95.76008273009307
22,0.001,5e-06,0.35,0.1,0.25,95.76008273009307
20,0.001,5e-06,0.35,0.1,0.15,95.70837642192348
25,0.001,5e-06,0.35,0.15,0.25,95.65667011375388
34,0.001,5e-06,0.4,0.15,0.25,95.60496380558428
31,0.001,5e-06,0.4,0.1,0.25,95.55325749741469
